Date,Step,Close_pred,Change_pred,Return_pred,Open_pred,High_pred,Low_pred,Volume_pred,TradingValue_pred,MarketCap_pred,SharesOutstanding_pred,MA_20_pred,Volatility_20_pred,Close_MA20_Ratio_pred,Close_actual
2025-09-16,92,55186.62921217312,-7.909147567624299,0.01845083464591297,55196.40276808134,55958.876400492314,54621.280301021136,18137676.75896063,1009857488516.0432,326724244213278.75,5918495207.108759,55069.54254186184,0.026275354212275157,1.0018668939939381,78200
2025-09-17,93,55178.56263117587,-7.896543841104862,0.018476364034384126,55188.285151922275,55950.844035222384,54613.19694897486,18138401.216040146,1009757820889.6796,326675190593545.94,5918478836.6942215,55061.25460235825,0.02628196837719277,1.0018694324077853,80500
2025-09-18,94,55170.50927801581,-7.883111294543095,0.018502943044614636,55180.18015591573,55942.82308594283,54605.127956797085,18139093.66245281,1009656451373.1793,326626214602648.25,5918462422.176194,55052.96632496762,0.026288455708589002,1.0018721869599527,79700
2025-09-19,95,55162.46994447092,-7.868893207622012,0.01853051621619461,55172.08861373134,55934.81443615926,54597.074065837405,18139755.562148724,1009553484838.4335,326577320973738.2,5918445964.497977,55044.67918031294,0.02629482131251194,1.0018751471438108,83500
2025-09-22,96,55154.445380578996,-7.85393108829788,0.018559030370375634,55164.01131553443,55926.818923968225,54589.035977664986,18140388.322464716,1009449021879.4142,326528514191357.9,5918429464.582627,55036.394571870835,0.026301070099304387,1.0018783028455986,84700
2025-09-23,97,55146.436296346306,-7.838264743628304,0.018588434517832982,55155.94900976344,55918.83734390368,54581.014355703875,18140993.296167634,1009343158970.7988,326479798501614.25,5918412923.333544,55028.11383847181,0.026307206790985426,1.0018816443319989,85400
2025-09-24,98,55138.443363388295,-7.821932347589151,0.018618679770415893,55147.90240483673,55910.87044871035,54573.009826803085,18141571.783430208,1009235988621.1133,326431177921948.7,5918396341.635035,55019.838256719246,0.026313235928351202,1.0018851622379399,86100
2025-09-25,99,55130.46721650507,-7.8049705060434285,0.01864971925672373,55139.872170791496,55902.918951047155,54565.022982744,18142125.033741347,1009127599520.5688,326382656250518.1,5918379720.35286,55011.56904332906,0.02631916187780598,1.0018888475546424,83300
2025-09-26,100,55122.50845519449,-7.787414318968178,0.018681508041320845,55131.858940857885,55894.98352512349,54557.054381687965,18142654.247752286,1009018076683.7112,326334237075203.94,5918363060.334766,55003.30735739179,0.02632498883793409,1.0018926916179207,84200
2025-09-29,101,55114.56764510532,-7.76929744010015,0.018714003047375635,55123.86331297074,55887.064808271134,54549.10454956631,18143160.579060808,1008907501587.1077,326285923782264.5,5918346362.410987,54995.05430255903,0.026330720845822893,1.001896686096748,83900
2025-09-30,102,55106.64531943322,-7.750652134104005,0.018747162982574266,55115.885851221894,55879.163402454506,54541.1739814155,18143645.135934133,1008795952302.1257,326237719564645.56,5918329627.394742,54986.81092915602,0.026336361783146446,1.0019008229820923,86000
2025-10-01,103,55098.74198026144,-7.731509331397593,0.01878094826814598,55107.92708725513,55871.27987572163,54533.263142659365,18144108.982973482,1008683503623.0641,326189627429962.9,5918312856.082712,54978.578236222405,0.02634191538201922,1.001905094576027,89000
2025-10-02,104,55090.85809984897,-7.71189868070859,0.018815320970869045,55099.98752160626,55863.41476359831,54525.372470340866,18144553.142720904,1008570227190.6865,326141650208170.6,5918296049.255499,54970.35717348306,0.026347385230628725,1.001909493481123,94400
2025-10-10,105,55082.994121867974,-7.691848599527869,0.0188502447378428,55092.06762499065,55855.5685704278,54517.50237430517,18144978.597210485,1008456191611.3684,326093790558928.0,5918279207.678069,54962.148643250854,0.02635277477865563,1.001914012590118,93300
2025-10-13,106,55075.15046259263,-7.671386322476497,0.018885684734010474,55084.16783954021,55847.7417706581,54509.653238336316,18145386.28946587,1008341462571.9783,326046050978676.7,5918262332.1001835,54953.95350226333,0.026358087342489525,1.0019186450758706,91600
2025-10-14,107,55067.32751204147,-7.65053794774256,0.01892160758221045,55076.288579991946,55839.93481007908,54501.8254212491,18145777.12494488,1008226102950.6085,325998433807440.4,5918245423.256815,54945.7725634552,0.02636332611024831,1.0019233843815947,95000
2025-10-15,108,55059.52563507474,-7.629328481659503,0.01895798130565558,55068.43023482983,55832.14810701118,54494.01925793807,18146151.97293406,1008110172923.366,325950941235358.06,5918228481.868548,54937.60659766849,0.026368494146608544,1.0019282242113712,97700
2025-10-16,109,55051.74517244907,-7.607781881470931,0.01899477527279537,55060.59316738226,55824.38205344799,54486.235060385436,18146511.66789333,1007993730067.2357,325903575308961.25,5918211508.641969,54929.45633530232,0.026373594397454198,1.001933158520941,97900
2025-10-17,110,55043.986441830704,-7.585921096419089,0.019031960144357107,55052.777716876415,55816.6370161542,54478.47311862938,18146857.010753416,1007876829459.2832,325856337937205.5,5918194504.270037,54921.32246790398,0.026378629694350626,1.0019381815087693,98100
2025-10-20,111,55036.24973876917,-7.563768107183474,0.01906950782254668,55044.98419945147,55808.91333772078,54470.733701694466,18147188.770167224,1007759523772.2169,325809230897266.25,5918177469.432452,54913.2056497033,0.02638360275885048,1.0019432876073817,97500
2025-10-21,112,55028.53533763293,-7.541343963766902,0.01910739140227467,55037.212909132315,55801.211337579196,54463.01705848558,18147507.683716297,1007641863366.4648,325762255840108.0,5918160404.796006,54905.106499092,0.026388516206637964,1.0019484714749682,98600
2025-10-22,113,55020.8434925084,-7.5186688218770605,0.019145585124326788,55029.46411876518,55793.53131297605,54455.32341864689,18147814.4590745,1007523896378.9329,325715414295835.6,5918143311.014919,54897.02560004975,0.026393372551517528,1.0019537279872488,96500
2025-10-23,114,55013.17443806396,-7.49576197788549,0.019184064330396707,55021.738080916824,55785.87353990985,54447.652993387135,18148109.77512955,1007405668808.4763,325668707678837.2,5918126188.731169,54888.96350351867,0.02639817420925302,1.0019590522295965,98800
2025-10-24,115,55005.528390380176,-7.472641902400927,0.01922280541991046,55014.03502873862,55778.23827403142,54440.00597627273,18148394.283064313,1007287224598.2388,325622137292725.3,5918109038.57481,54880.92072872806,0.02640292350126283,1.0019644394894138,102000
