Date,Step,종가_pred,대비_pred,등락률_pred,시가_pred,고가_pred,저가_pred,거래량_pred,거래대금_pred,시가총액_pred,상장주식수_pred,종가_actual
2025-09-03,83,58551.4267314755,21.286827676691715,0.06811453991564273,58548.73292132745,59260.32882232053,57966.55908552577,17647102.203573868,1043634701442.9519,346863379864876.7,5922282889.793435,70100.0
2025-09-04,84,58572.466940108985,21.040208633497073,0.06774438719805151,58570.04099488532,59281.65558758424,57987.488080612005,17649993.401741378,1044225551703.9623,346991264425167.1,5922323650.212078,69500.0
2025-09-05,85,58593.26262251187,20.795682402891558,0.06737706007885377,58591.10107212606,59302.7351989199,58008.1734043483,17652908.09461167,1044812727289.7798,347117692904110.3,5922364474.547148,70100.0
2025-09-08,86,58613.81586157303,20.55323906115997,0.06701254957535804,58611.91526914505,59323.56975441918,58028.61713681365,17655845.49859635,1045396226881.5802,347242677396343.1,5922405356.760206,71500.0
2025-09-09,87,58634.12873019487,20.3128686218529,0.06665084653747697,58632.485691841226,59344.16134221455,58048.82134805178,17658804.841998994,1045976049621.673,347366229942813.7,5922446290.918366,72600.0
2025-09-10,88,58654.20329123318,20.074561038322614,0.06629194165214067,58652.814435856766,59364.51204041674,58068.78809801212,17661785.364885133,1046552195105.0198,347488362530351.25,5922487271.193032,73400.0
2025-09-11,89,58674.04159743908,19.838306205912446,0.06593582544723717,58672.90358651919,59384.62391705447,58088.51943649307,17664786.318953894,1047124663370.8512,347609087091249.94,5922528291.858649,75400.0
2025-09-12,90,58693.64569140352,19.604093964453355,0.0655824882960275,58692.75521878569,59404.49903001661,58108.01740308761,17667806.967409663,1047693454894.3689,347728415502867.44,5922569347.291465,76500.0
2025-09-15,91,58713.01760550372,19.371914100199334,0.06523192042080148,58712.37139718992,59424.13942699657,58127.28402713106,17670846.58483573,1048258570578.5918,347846359587236.75,5922610431.968302,79400.0
2025-09-16,92,58732.15936185206,19.14175634833488,0.06488411189705254,58731.75417579071,59443.5471454389,58146.32132765107,17673904.45706857,1048820011746.2832,347962931110692.6,5922651540.465343,78200.0
2025-09-17,93,58751.072972246904,18.91361039484879,0.06453905265724277,58750.90559812324,59462.72421248811,58165.131313319675,17676979.88107331,1049377780131.9833,348078141783510.6,5922692667.4569235,80500.0
2025-09-18,94,58769.760438125886,18.687465878989556,0.064196732494984,58769.827697152214,59481.67264493976,58183.71598240759,17680072.164819572,1049931877874.1094,348192003259560.75,5922733807.714335,79700.0
2025-09-19,95,58788.22375052098,18.46331239509415,0.06385714106841597,58788.52249522732,59500.39444919357,58202.07732274059,17683180.62715911,1050482307507.2158,348304527135973.2,5922774956.104647,83500.0
2025-09-22,96,58806.464890015806,18.241139494836276,0.06352026790422402,58806.99200404058,59518.8916212087,58220.217311657805,17686304.59770418,1051029071954.3024,348415724952817.4,5922816107.589524,84700.0
2025-09-23,97,58824.48582670497,18.020936689164742,0.06318610240125219,58825.2382245859,59537.16614646106,58238.137915972184,17689443.416706506,1051572174519.2356,348525608192793.94,5922857257.224073,85400.0
2025-09-24,98,58842.28852015527,17.802693450304346,0.06285463383403198,58843.263147120626,59555.21999990272,58255.84109193286,17692596.434938215,1052111618879.2896,348634188280938.75,5922898400.155683,86100.0
2025-09-25,99,58859.87491936916,17.586399213894552,0.06252585135678265,58861.06875112899,59573.05514592328,58273.328785189515,17695763.01357185,1052647409077.688,348741476584340.5,5922939531.622886,83300.0
